City,Price,Location,Size (sqft),Contact Info,URL
Delhi,"₹35 Cr@ 3,80,434 per sq.yards","4 BHK Builder Floor in Vasant Vihar, Delhi",Area Plot area 1000,N/A,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-vasant-vihar-south-delhi-9000-sq-ft-spid-J87972114
Delhi,"₹6.39 Cr@ 3,19,500 per sq.yards","3 BHK Builder Floor in Pamposh Enclave, Delhi",Area Plot area 200,N/A,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-pamposh-enclave-south-delhi-1800-sq-ft-spid-J88377420
Delhi,₹ 2.25 - 12.7 Cr,Unity  Group The Amaryllis,Carpet Area 741 sq.ft.,N/A,https://www.99acres.com/unity-group-the-amaryllis-karol-bagh-central-delhi-npxid-r217503
Delhi,₹ 17 - 75 L,Affordable Happy Homes,Carpet Area 360 - 405 sq.ft.,N/A,https://www.99acres.com/affordable-happy-homes-uttam-nagar-west-west-delhi-npxid-r412112
Delhi,₹ 3 - 14 Cr,Sukhmani Buildwell,Super Built-up Area 1350 - 1500 sq.ft.,N/A,https://www.99acres.com/sukhmani-buildwell-janakpuri-west-delhi-npxid-r459799
Delhi,₹ 2.25 - 5 Cr,Chadha Smart Homes,Built-up Area 1620 - 1800 sq.ft.,N/A,https://www.99acres.com/chadha-smart-homes-paschim-vihar-west-delhi-npxid-r460579
Delhi,₹ 2.75 - 7.5 Cr,Chadha Luxurious Homes,Built-up Area 1800 sq.ft.,N/A,https://www.99acres.com/chadha-luxurious-homes-punjabi-bagh-west-delhi-npxid-r460425
Delhi,₹ 1 - 3.9 Cr,Sky High Luxury Homes,Super Built-up Area 650 - 850 sq.ft.,N/A,https://www.99acres.com/sky-high-luxury-homes-sector-8-dwarka-delhi-npxid-r348181
Delhi,"3, 4 BHK Apartment|₹ 7.63 - 9.06 Cr",Eldeco Camelot,Carpet Area 2085 - 2419 sq.ft.,N/A,https://www.99acres.com/eldeco-camelot-sector-17-dwarka-delhi-npxid-r460611
Delhi,₹ 2.8 - 12.5 Cr,CRP Dream Homes,Carpet Area 1800 - 2250 sq.ft.,N/A,https://www.99acres.com/crp-dream-homes-punjabi-bagh-west-west-delhi-npxid-r460711
Delhi,₹ 2.75 - 6.19 Cr,Padam Luxurious Homes,Super Built-up Area 1800 sq.ft.,N/A,https://www.99acres.com/padam-luxurious-homes-punjabi-bagh-west-delhi-npxid-r375030
Delhi,₹ 1.1 - 6 Cr,Arora Luxurious Floor,Super Built-up Area 756 sq.ft.,N/A,https://www.99acres.com/arora-luxurious-floor-paschim-vihar-west-delhi-npxid-r462621
Delhi,₹ 3 - 9.48 Cr,Godrej South Estate,Super Built-up Area 1200 - 2234 sq.ft.,N/A,https://www.99acres.com/godrej-south-estate-okhla-south-delhi-npxid-r336083
Delhi,₹ 90 L - 5.25 Cr,Luxurious Floors by Sukh Saroj,Built-up Area 725 - 800 sq.ft.,N/A,https://www.99acres.com/luxurious-floors-by-sukh-saroj-ashram-south-delhi-npxid-r458671
Delhi,₹ 4.5 - 25 Cr,URE South Delhi Luxury Floors,Carpet Area 1494 - 3000 sq.ft.,N/A,https://www.99acres.com/ure-south-delhi-luxury-floors-greater-kailash-1-south-delhi-npxid-r432469
Delhi,₹ 1.05 - 6.25 Cr,Kasturi Homes,Super Built-up Area 756 - 900 sq.ft.,N/A,https://www.99acres.com/kasturi-homes-paschim-vihar-west-delhi-npxid-r451355
Delhi,₹ 4.75 - 23 Cr,Global Homes 1,Carpet Area 1600 sq.ft.,N/A,https://www.99acres.com/global-homes-1-greater-kailash-1-south-delhi-npxid-r442024
Delhi,₹ 30 L - 4.5 Cr,Delhi Developer Rohini Floors and Flats,Carpet Area 500 - 750 sq.ft.,N/A,https://www.99acres.com/delhi-developer-rohini-floors-and-flats-sector-24-rohini-north-delhi-npxid-r456821
Delhi,₹ 1.23 - 8.75 Cr,K K Kohli Luxurious Floors,Carpet Area 900 - 1800 sq.ft.,N/A,https://www.99acres.com/k-k-kohli-luxurious-floors-vikas-puri-west-delhi-npxid-r456223
Delhi,₹ 43 L,Shubhaarambh Premium Floors,Super Built-up Area 630 sq.ft.,N/A,https://www.99acres.com/shubhaarambh-premium-floors-uttam-nagar-west-west-delhi-npxid-r446595
Delhi,₹ 25 L - 1.35 Cr,Ananda RV Homes,Carpet Area 450 sq.ft.,N/A,https://www.99acres.com/ananda-rv-homes-chattarpur-south-delhi-npxid-r462673
Delhi,₹ 9 - 15 Cr,Wisteria Homes,Carpet Area 2700 - 4500 sq.ft.,N/A,https://www.99acres.com/wisteria-homes-panchsheel-park-south-delhi-npxid-r457859
Delhi,₹ 1.3 - 8.25 Cr,Spine Luxurious Homes,Super Built-up Area 720 sq.ft.,N/A,https://www.99acres.com/spine-luxurious-homes-sector-17-dwarka-delhi-npxid-r457430
Delhi,₹ 36 L - 1.5 Cr,Megha Affordable Homes,Carpet Area 540 - 720 sq.ft.,N/A,https://www.99acres.com/megha-affordable-homes-sector-14-dwarka-delhi-npxid-r289339
Delhi,₹ 2 - 5.56 Cr,Kohli East Delhi Luxury Builder Floors,Super Built-up Area 1000 sq.ft.,N/A,https://www.99acres.com/kohli-east-delhi-luxury-builder-floors-preet-vihar-east-delhi-npxid-r459624
Delhi,₹ 6 - 32 Cr,K S Luxury Homes,Carpet Area 1400 - 3000 sq.ft.,N/A,https://www.99acres.com/k-s-luxury-homes-greater-kailash-2-south-delhi-npxid-r438260
Delhi,₹ 2 - 5.5 Cr,Pradeep Luxury Builders Floor,Super Built-up Area 1125 sq.ft.,N/A,https://www.99acres.com/pradeep-luxury-builders-floor-anand-vihar-east-delhi-npxid-r435515
